date,content,retweetCount,likeCount,lang,hashtags,time,datetime,hour,coin
2022-12-23 08:05:07+00:00,"@avalancheavax Average, common, classic Avalanche W.",0,0,fr,,08:05:07+0,2022-12-23 08:05:07+00:00,08,AVAX
2022-12-23 06:56:31+00:00,"DeFi Heute TVL wie am 15.Feb 2021 : 45 Mrd. gesamt ⚡️⚡️ Heute 👉 Ethereum: 27 Mrd 👉 BSC: 5 Mrd 👉 Tron: 5 Mrd 👉 Polygon/Arbitrum/Avalanche: 1 Mrd 👉 Optimism/Fantom: 0,6 Mrd  ⚡️⚡️ Damals:  👉 Ethereum: 41 Mrd 👉 BSC 2 Mrd 👉 Tron 0,3 Mrd,",0,1,de,,06:56:31+0,2022-12-23 06:56:31+00:00,06,AVAX
2022-12-23 06:39:22+00:00,Wife of the Dust Avalanche,0,0,en,,06:39:22+0,2022-12-23 06:39:22+00:00,06,AVAX
2022-12-23 05:30:31+00:00,"Live Crypto Prices (24h change)  BTC: $16,835.20 (+0.08%) ETH: $1,222.49 (+0.87%) LEO: $3.77 (+0.71%) MKR: $551.36 (-0.07%) AVAX: $11.85 (+1.19%) XTZ: $0.8124 (+1.02%) ATOM: $9.01 (+1.17%)  Powered by CoinGecko API $BTC $ETH $LEO $MKR $AVAX $XTZ $ATOM",0,2,en,,05:30:31+0,2022-12-23 05:30:31+00:00,05,AVAX
2022-12-23 03:32:38+00:00,Based team + bullish concept that I think will run up hard closer to Christmas with some good gifts being given out #XMAS    https://t.co/Slg71zNds2   $DYP  $XMAS  $USDC  $XMAS  $ENS  $AVAX  #XMAS #MerryChristmas #Crypto #Web3 #MerryChristmasTOAll https://t.co/90o2QHTgPa,0,0,en,"['XMAS', 'XMAS', 'MerryChristmas', 'Crypto', 'Web3', 'MerryChristmasTOAll']",03:32:38+0,2022-12-23 03:32:38+00:00,03,AVAX
2022-12-31 23:43:49+00:00,[✅] Pup #1208 SOLD for 0.00 AVAX [$0.00] - https://t.co/3CHjGi1tRv  📊 Arctic Fox Pups - X'mas Edition #AVAX Analytics: https://t.co/35rS6OTkYX https://t.co/BzTuH7kJ7f,0,1,en,['AVAX'],23:43:49+0,2022-12-31 23:43:49+00:00,23,AVAX
2022-12-31 23:22:23+00:00,@guffychan @Avalanche Hi!!,0,4,und,,23:22:23+0,2022-12-31 23:22:23+00:00,23,AVAX
2022-12-31 21:42:20+00:00,"Never been to a hockey game before, but I'm thinking about going to the Golden Knights v Avalanche game on Monday since I'll be in Denver 🤔",0,0,en,,21:42:20+0,2022-12-31 21:42:20+00:00,21,AVAX
2022-12-31 21:07:52+00:00,Top insights 📈 for Maple Leafs @ Avalanche 7:00 PM EST 👇   #NHL #GamblingTwitter https://t.co/Midti9AGFW,0,0,en,"['NHL', 'GamblingTwitter']",21:07:52+0,2022-12-31 21:07:52+00:00,21,AVAX
2022-12-31 20:52:59+00:00,@ColoradoAvsEU @RadioMoser @kylekeefetv @RycroftMark @Peter_Baugh @Avalanche @Eurolanche @AltitudeTV @NHL @TheAthleticNHL Too many men.,0,0,en,,20:52:59+0,2022-12-31 20:52:59+00:00,20,AVAX
