date,content,retweetCount,likeCount,lang,hashtags,time,datetime,hour,coin
2022-10-15 23:13:34+00:00,#BICOUSDT % 1.85 increase in last 10 seconds price: 0.44000000 #BICO #Bitcoin Bitcoin #BTC https://t.co/mK6JDkWoD9,0,0,en,"['BICOUSDT', 'BICO', 'Bitcoin', 'BTC']",23:13:34+0,2022-10-15 23:13:34+00:00,23,BICO
2022-10-15 19:57:53+00:00,$BICO Everyone is Buying the Dip Right Now.Hoarding Shares;-   https://t.co/hyW3dl7C7k,0,0,en,,19:57:53+0,2022-10-15 19:57:53+00:00,19,BICO
2022-10-15 07:16:20+00:00,"Volatility move UP: BICOBUSD at 0.4090000000 BUSD (9.65%, previously 0.3730000000 BUSD) https://t.co/m5tv0aitqp #Binance $BICO (Selling opportunity level: 1 - Normal)",0,0,en,['Binance'],07:16:20+0,2022-10-15 07:16:20+00:00,07,BICO
2022-10-15 05:47:10+00:00,Top 5 #cryptocurrency #price jumps in last minute on #MEXC https://t.co/AdJlZWDm3W $PHM 2.25% $ZKS 0.74% $BICO 0.69% $IQ 0.57% $XYM 0.31%  #PHM #ZKS #BICO #IQ #XYM #crypto #cryptonews #cryptoAlerts #blockchain  #cryptotrading #cryptoprices #altcoins,0,0,et,"['cryptocurrency', 'price', 'MEXC', 'PHM', 'ZKS', 'BICO', 'IQ', 'XYM', 'crypto', 'cryptonews', 'cryptoAlerts', 'blockchain', 'cryptotrading', 'cryptoprices', 'altcoins']",05:47:10+0,2022-10-15 05:47:10+00:00,05,BICO
2022-10-14 19:54:19+00:00,$BICO Top analyst price target for next week..    https://t.co/GKYUecWgNe,0,0,en,,19:54:19+0,2022-10-14 19:54:19+00:00,19,BICO
2021-10-24 07:58:58+00:00,@biconomy @CoinList Hello everyone! I recorded a video with an overview of the project for better understanding. Who cares I ask for viewing) https://t.co/QhS2URoEHr,0,0,en,,07:58:58+0,2021-10-24 07:58:58+00:00,07,BICO
2021-10-23 23:36:03+00:00,@Biconomy_Global @syahputrairwan6 Nice sirr  0xc254A008b6Fc9364845F24780107E94Df9515162,0,0,cs,,23:36:03+0,2021-10-23 23:36:03+00:00,23,BICO
2021-10-23 16:06:45+00:00,#BITHalloween #bithalloween @Suhail03026767 @Suhailkvr1 @suhaib_nk @SuhailNk16 @AbdulBa10967894 @Abinsiby7 Fantastic project with great potential. 😍😍Happy Halloween for my all biconomy friends😍😍 @Biconomy_Global #Biconomy #bit #Biconomy2ndAnniversary https://t.co/GrDK5KibGD,0,1,en,"['BITHalloween', 'bithalloween', 'Biconomy', 'bit', 'Biconomy2ndAnniversary']",16:06:45+0,2021-10-23 16:06:45+00:00,16,BICO
2021-10-23 12:48:09+00:00,@shiepromotes @Biconomy_Global https://t.co/fFSDHNO4Rn,0,0,qme,,12:48:09+0,2021-10-23 12:48:09+00:00,12,BICO
2021-10-23 11:11:02+00:00,@SheludkoDmitriy @solana The best Ceo ever. Push us to the Sky Biconomy  0.0.1  - 1$ ?  Burn it Dmitry   https://t.co/aXKz9J8Utp,0,0,en,,11:11:02+0,2021-10-23 11:11:02+00:00,11,BICO
2021-10-23 06:25:50+00:00,"@Biconomy_Global Happy Halloween bitcoin no 1, to the moon is the best  @florsbeny  @AikiCrypto08  @ArmyEdc  @CryptoAlcoholi  @itsprettyjamie   #BITHalloween",0,0,en,['BITHalloween'],06:25:50+0,2021-10-23 06:25:50+00:00,06,BICO
2021-10-23 02:31:40+00:00,@GameBoxCoin let's go @elonmusk @Biconomy_Charly @Biconomy_Global,0,0,en,,02:31:40+0,2021-10-23 02:31:40+00:00,02,BICO
2021-10-22 14:50:51+00:00,Biconomyは面白そうよね。 いやセールで買えたからポジトークではあるんだけれども笑 マルチチェーンとか、今ようやくブリッジが～とかいう状況なわけで、ユーザー側が意識せず使える時代が来てようやく世間一般にも暗号資産広まりそうじゃわ。  https://t.co/h0CsImiunn,0,0,ja,,14:50:51+0,2021-10-22 14:50:51+00:00,14,BICO
