date,content,retweetCount,likeCount,lang,hashtags,time,datetime,hour,coin
2022-10-09 13:10:32+00:00,#BICOUSDT % 1.2 increase in last 10 seconds price: 0.42000000 #BICO #Bitcoin Bitcoin #BTC https://t.co/mK6JDldrF9,0,0,en,"['BICOUSDT', 'BICO', 'Bitcoin', 'BTC']",13:10:32+0,2022-10-09 13:10:32+00:00,13,BICO
2022-10-09 13:10:02+00:00,"#BICOUSDT #BICO  Signal #2    Last Signal: 390 mins ago  Before: 0.40200000  After: 0.41900000 🟢(4.23%)  Volume Chng: 39,210 USDT (5.63%)   Daily   Price Chng: (6.08%)🟢  Volume: 678,918 USDT   🚀PRO ➡️ https://t.co/1EgdzYfAe1 🐳  #Crypto #Bitcoin #BTC #ETH",0,0,en,"['BICOUSDT', 'BICO', 'Crypto', 'Bitcoin', 'BTC', 'ETH']",13:10:02+0,2022-10-09 13:10:02+00:00,13,BICO
2022-10-16 07:59:11+00:00,$BICO Everyone is Buying the Dip Right Now.Hoarding Shares;- https://t.co/hyW3dl7C7k,0,0,en,,07:59:11+0,2022-10-16 07:59:11+00:00,07,BICO
2022-10-14 15:27:40+00:00,@Tukuhua2 @Biconomy_Global does this still work and is it still profitable?,0,0,en,,15:27:40+0,2022-10-14 15:27:40+00:00,15,BICO
2022-10-14 10:04:37+00:00,@YunaPromotes_ @Biconomy_Global Done https://t.co/zfaMQXwfNA,0,0,en,,10:04:37+0,2022-10-14 10:04:37+00:00,10,BICO
2022-10-14 07:54:40+00:00,Bears are tired and emtpy-pocket now  Let them rest now  They ve worked so hard lately  Rise the Bulls now  Let the Fiesta de San Fermín begin  #Bitcoin #cryptocurrencies #ETN #QNT #XRP #EWT #AZERO #MITX #RSR #BICO #EGLD #MATIC #DOT,0,1,en,"['Bitcoin', 'cryptocurrencies', 'ETN', 'QNT', 'XRP', 'EWT', 'AZERO', 'MITX', 'RSR', 'BICO', 'EGLD', 'MATIC', 'DOT']",07:54:40+0,2022-10-14 07:54:40+00:00,07,BICO
2022-10-12 04:48:43+00:00,@Genie_exchange Great project   @Biconomy_Global @AsteriaProtocol @rsjaitly,1,0,en,,04:48:43+0,2022-10-12 04:48:43+00:00,04,BICO
2022-10-10 16:34:13+00:00,"3/  That wraps up another incredible quarter here at  @biconomy  Thanks for all the support, Biconauts. We couldn't have made it so far without you!🧡  Keep building!🙌",0,9,en,,16:34:13+0,2022-10-10 16:34:13+00:00,16,BICO
2022-10-09 01:29:04+00:00,@biconomy 的𝐇𝐲𝐩𝐡𝐞𝐧现已上线 @ChainHopDEX ！👇,0,1,zh,,01:29:04+0,2022-10-09 01:29:04+00:00,01,BICO
2022-10-07 06:43:20+00:00,"Partnership Updates :  ✅@HHedzP2E ✅@CrowdFJ , @MFNOfficial_ ✅@xandargames  ✅@biconomy   #partnership #nfts #Web3 #Developer",4,6,en,"['partnership', 'nfts', 'Web3', 'Developer']",06:43:20+0,2022-10-07 06:43:20+00:00,06,BICO
2022-10-05 13:31:44+00:00,"◎2位　$BICO/USDT◎ (左は取引量の増加倍率、右は取引量（1,000単位）を表す)  今　回 ： 21.57倍,  23.0 K.USDT 前　回 ： 0.19倍,  1.1 K.USDT 前々回 ： 2.44倍,  5.7 K.USDT ３回前 ： 0.18倍,  2.3 K.USDT ４回前 ： 6.68倍,  13.1 K.USDT",0,0,ja,,13:31:44+0,2022-10-05 13:31:44+00:00,13,BICO
2022-10-05 03:02:27+00:00,#30mCandlesTA4Crypto | 🚨 📈 Biggest winners this last candle:  $PYR ➡️ 0.99% $BICO ➡️ 0.97% $FORTH ➡️ 0.83% $BADGER ➡️ 0.81% $FARM ➡️ 0.77%  05/10/2022 @ 3:02am UTC Follow for regular updates #cryptotrading #crypto #cryptomarket,0,1,en,"['30mCandlesTA4Crypto', 'cryptotrading', 'crypto', 'cryptomarket']",03:02:27+0,2022-10-05 03:02:27+00:00,03,BICO
2022-10-03 20:00:40+00:00,@LFGSwap @elonmusk @Biconomy_Global @StarLinkETH LGF👍🏻,0,0,und,,20:00:40+0,2022-10-03 20:00:40+00:00,20,BICO
2022-10-01 16:13:24+00:00,@OPP_News @ontariosec plz take cognisance action agnaist @Biconomy_Global . They are scamming people.  once we deposit fund they can't be withdraw. There support blocking people who raise this issue.,0,0,en,,16:13:24+0,2022-10-01 16:13:24+00:00,16,BICO
2022-10-07 06:59:59+00:00,AntNetworX Collabs With Biconomy To Build The Next Generation DApps  https://t.co/ht08io7D3a  #Blockchain #KISSPRNewswire #KISSPRBrandStory #KISSPRPressRelease https://t.co/duJTHMhvFx,0,0,en,"['Blockchain', 'KISSPRNewswire', 'KISSPRBrandStory', 'KISSPRPressRelease']",06:59:59+0,2022-10-07 06:59:59+00:00,06,BICO
2022-10-01 09:37:56+00:00,"In the past one month, $BIT has gained 79 new holders. The total number of $BIT holders is now 71,336.  #BIT #BiconomyExchange #BITToken @Biconomy_Global",1,5,en,"['BIT', 'BiconomyExchange', 'BITToken']",09:37:56+0,2022-10-01 09:37:56+00:00,09,BICO
2022-10-07 06:19:44+00:00,"🟢🟢🟢🟢🟢🟢🟢🟢 The current price of one $BIT coin is: $0.00000689, +0.2162% change in the last hour, +8.17827% change in the last 24 hours.  24H Volume: $3,237,927. Market Cap: $2,581,907.  #BIT #BiconomyExchange #BITToken @Biconomy_Global",0,2,en,"['BIT', 'BiconomyExchange', 'BITToken']",06:19:44+0,2022-10-07 06:19:44+00:00,06,BICO
2022-10-05 14:13:15+00:00,#BiconomyExchange received an award for participation in the @BEconomy_HQ 🔥  This award belongs to our community and the whole team - thanks for being with us👍🔥  #Biconomy #BITToken #web3 #crypto #cryptocurrency #community https://t.co/7AqPOwhKqg,30,95,en,"['BiconomyExchange', 'Biconomy', 'BITToken', 'web3', 'crypto', 'cryptocurrency', 'community']",14:13:15+0,2022-10-05 14:13:15+00:00,14,BICO
2021-04-27 22:08:19+00:00,"@EPID_Community @biconomy In which field (DeFi, Stake,Dapps..) your team focusing on at the moment?  and what is your goals to achieve in 2021?",0,0,en,,22:08:19+0,2021-04-27 22:08:19+00:00,22,BICO
2021-04-27 02:34:09+00:00,@EPID_Community @biconomy I studied your project and I saw that you have a good future .. but what steps do you take to increase your value further? How to distribute it to the new customer?,0,0,en,,02:34:09+0,2021-04-27 02:34:09+00:00,02,BICO
2021-04-29 16:11:54+00:00,@julien51 And if you’re building something yourself make sure to get in touch with @AraBalaghi and the @biconomy team,0,1,en,,16:11:54+0,2021-04-29 16:11:54+00:00,16,BICO
2021-04-15 15:44:27+00:00,📢📢📢📢    NONOLVIDES UNIRTE AL AMA sobre BICONOMIA @biconomy📢📢📢📢 👇👇👇 https://t.co/5bgj4vfT8O https://t.co/i3IZVNLu0y https://t.co/SQ56pvuLKJ,0,1,es,,15:44:27+0,2021-04-15 15:44:27+00:00,15,BICO
2021-04-14 16:34:55+00:00,@reneil1337 @0xPolygon @biconomy @qwellcode @opensea @artvatars 🤙 wicked,0,0,en,,16:34:55+0,2021-04-14 16:34:55+00:00,16,BICO
