date,content,retweetCount,likeCount,lang,hashtags,time,datetime,hour,coin
2022-10-30 11:13:07+00:00,"@LeGlobe_info Le mouvement de foule était situé dans une descente, des gens ont commencé à tomber et ça a fait une avalanche humaine, ceux de devant ont forcément été les plus gravement blessés et ont subit le plus…",0,0,fr,,11:13:07+0,2022-10-30 11:13:07+00:00,11,AVAX
2022-03-22 02:37:52+00:00,@29_Drai @jinxed_xml @Avalanche Try getting out of the first round first,0,3,en,,02:37:52+0,2022-03-22 02:37:52+00:00,02,AVAX
2022-10-30 11:00:03+00:00,"Top Crypto Strategist Forecasts Massive Rallies for Ethereum, Avalanche and One Red-Hot Altcoin – Here Are His Targets https://t.co/ndK6ezteaW",0,0,en,,11:00:03+0,2022-10-30 11:00:03+00:00,11,AVAX
2022-03-22 01:42:59+00:00,@Avalanche y'all okay? y'all doin alright??? 🥺,0,1,en,,01:42:59+0,2022-03-22 01:42:59+00:00,01,AVAX
2022-10-30 07:18:41+00:00,$XEN #XENCrypto #XENFT #XENIAN🧘‍♀️  ..... $ETH $MATIC $AVAX $DOT $BNB $EVMOS $GLMR $FTM #DogeChain,0,1,und,"['XENCrypto', 'XENFT', 'XENIAN', 'DogeChain']",07:18:41+0,2022-10-30 07:18:41+00:00,07,AVAX
2022-03-22 01:39:44+00:00,cara nem tentou contestar simplesmente aceitou uma avalanche na direção dele,0,0,pt,,01:39:44+0,2022-03-22 01:39:44+00:00,01,AVAX
2022-10-30 06:06:31+00:00,It’s not even November yet stop stressin’ bout the @Avalanche,0,0,en,,06:06:31+0,2022-10-30 06:06:31+00:00,06,AVAX
2022-03-22 01:35:38+00:00,"@davidgokhshtein #AVAX, man, that was the one who brought me to this amazing world &lt;3",0,1,en,['AVAX'],01:35:38+0,2022-03-22 01:35:38+00:00,01,AVAX
2022-10-30 04:05:33+00:00,"#cryptoprices Live Crypto Prices (24h change)  BTC: $20,762.00 (+0.06%) ETH: $1,621.75 (+2.12%) LEO: $4.49 (-0.00%) MATIC: $0.9321 (-1.62%) AVAX: $18.39 (-1.82%) TRX: $0.0642 (+0.38%) XTZ: $1.44 (-1.06%)  Powered by CoinGecko API $BTC $ETH $LEO $MATIC $A… https://t.co/Pjf455nNX0",0,0,en,['cryptoprices'],04:05:33+0,2022-10-30 04:05:33+00:00,04,AVAX
2022-03-22 01:23:07+00:00,Have fun staying poor  $ETH $AVAX $WAN $LINK $UNI https://t.co/K8NXqxLdfy,0,0,en,,01:23:07+0,2022-03-22 01:23:07+00:00,01,AVAX
2022-10-30 02:21:40+00:00,"@Avalanche are just a listless, lifeless team ATM. No soul or heart. What the hell has happened to them? 2 REALLY bad losses",0,0,en,,02:21:40+0,2022-10-30 02:21:40+00:00,02,AVAX
2022-03-22 01:16:47+00:00,@vector_fi @Platypusdefi Just 2 months old and already a good project! Looking forward to it and let's keep building on #AVAX,0,1,en,['AVAX'],01:16:47+0,2022-03-22 01:16:47+00:00,01,AVAX
2022-10-30 02:20:45+00:00,@Avalanche did you tho? ouch :(,0,0,en,,02:20:45+0,2022-10-30 02:20:45+00:00,02,AVAX
2022-03-22 01:02:04+00:00,Hopper #3642 - Common - has sold for 20.0 $AVAX! https://t.co/NHgopotoTS https://t.co/T5SOdg1HvC  🐸  #Avax #GameFi #NFTs https://t.co/16R637kC5L https://t.co/f5Jf0sCbcZ,0,4,en,"['Avax', 'GameFi', 'NFTs']",01:02:04+0,2022-03-22 01:02:04+00:00,01,AVAX
2022-10-30 02:13:56+00:00,"To be fair, I’m the Avalanche can’t be counted out in the final 80 seconds. #Isles",0,0,en,['Isles'],02:13:56+0,2022-10-30 02:13:56+00:00,02,AVAX
2022-03-22 01:00:49+00:00,"Avalanche - AVAX Price: $86.66 Change in 1h: +0.1864292% Market cap: $23,157,606,156.47 Ranking: 10 #Avalanche #AVAX",0,1,fr,"['Avalanche', 'AVAX']",01:00:49+0,2022-03-22 01:00:49+00:00,01,AVAX
2022-10-30 02:03:47+00:00,"""Trending post on LunarCrush:  """"How Twitter Will Embrace DOGE And Crypto Under Elon Musk"""" via @bitcoinist  Top asset mentions $btc $eth $doge $avax $sol  https://t.co/kpPwVFjqZR""",0,0,en,,02:03:47+0,2022-10-30 02:03:47+00:00,02,AVAX
2022-03-21 23:40:29+00:00,Hopper #7378 - Rare - has sold for 2.7 $AVAX! https://t.co/NHgopotoTS https://t.co/T5SOdg1HvC  🐸  #Avax #GameFi #NFTs https://t.co/16R637kC5L https://t.co/LZb7oe6jZY,0,0,en,"['Avax', 'GameFi', 'NFTs']",23:40:29+0,2022-03-21 23:40:29+00:00,23,AVAX
2022-10-30 00:52:56+00:00,Now THIS is @Avalanche hockey! #GoAvsGo,0,1,en,['GoAvsGo'],00:52:56+0,2022-10-30 00:52:56+00:00,00,AVAX
2022-03-21 21:01:39+00:00,💵 $0.0010335 Δ +0.2 % 🟢  $0.0010793 (Eth) Δ +4.1 % 🟢 $0.0010047 (BSC) Δ +1.9 % 🟢 $0.0010432 (Poly) Δ -0.5 % 🔴 $0.0009644 (Ftm) Δ -5.9 % 🔴 $0.0010440 (Avax) Δ -1.8 % 🔴  💰 $74.0M MC +0.2 % 🤝 73267 Hodlrs +0.0 %  🔐 $37.3M Staked TVL  💧 $7.7M LP 🐳 $2.2M Buyback  #EverRise https://t.co/XfeWLbQ1MH,0,0,und,['EverRise'],21:01:39+0,2022-03-21 21:01:39+00:00,21,AVAX
2022-10-30 00:00:02+00:00,Gm!  🔥ローンチ以来、200万超のAVAXがバーンされました！  AVAXのガス代はハードキャップの希少資産の一部であり、アバランチのすべての手数料が燃やされていることを知っていますか？👀  ▶︎https://t.co/SOfCzdhcR6  #Avalanche #アバランチ,1,13,ja,"['Avalanche', 'アバランチ']",00:00:02+0,2022-10-30 00:00:02+00:00,00,AVAX
2022-03-21 20:56:01+00:00,"@NatyShi_ @yaxis_project Faucet no hay, pero si te mandás fondos por el Avalanche Bridge o por el de Celer, te tiran un puchito de AVAX para el gas de la primera tx. Igual aguanta que ahí te escribo por DM 😉",1,2,es,,20:56:01+0,2022-03-21 20:56:01+00:00,20,AVAX
2022-10-29 21:35:05+00:00,Here comes the avalanche.,0,3,en,,21:35:05+0,2022-10-29 21:35:05+00:00,21,AVAX
2022-03-21 20:18:34+00:00,@Jarvis_Network @avalancheavax @gnosischain @BNBCHAIN avax,0,0,is,,20:18:34+0,2022-03-21 20:18:34+00:00,20,AVAX
2022-10-29 20:28:20+00:00,@SoldierSafemoon @Gengar_avax @NF_Seed Thanks ! Try hard a bit but it was worth it aha :),0,1,en,,20:28:20+0,2022-10-29 20:28:20+00:00,20,AVAX
2022-03-21 19:54:22+00:00,"@Avalanche Good player , will give you 110% every night   Even better person   He will help you guys a lot",0,1,en,,19:54:22+0,2022-03-21 19:54:22+00:00,19,AVAX
2022-10-29 16:45:45+00:00,"Great work on the token burn, cant wait to see what happens next. The Metaverse community can benefit from the use of  infrastructure.  #crypto  #XANA $XETA  #metaverse  #Avalanche  #NFT",0,1,en,"['crypto', 'XANA', 'metaverse', 'Avalanche', 'NFT']",16:45:45+0,2022-10-29 16:45:45+00:00,16,AVAX
2022-03-21 19:45:33+00:00,@Avalanche The Habs fans are making my eyes leak. Can’t wait to have this Finn in the fold.,0,5,en,,19:45:33+0,2022-03-21 19:45:33+00:00,19,AVAX
